Rk,Player,Year,Age,Tm,Pos,G,GS,Tgt,Rec,Ctch%,Yds,Y/R,TD,Lng,Y/Tgt,R/G,Y/G,Fmb,Player-additional
1,Marvin Harrison*+,2002,30,IND,WR,16,16,205,143,69.8%,1722,12.0,11,69,8.4,8.9,107.6,0,HarrMa00
2,Marvin Harrison*+,1999,27,IND,WR,16,16,184,115,62.5%,1663,14.5,12,57,9.0,7.2,103.9,2,HarrMa00
3,Reggie Wayne*+,2010,32,IND,WR,16,16,175,111,63.4%,1355,12.2,6,50,7.7,6.9,84.7,1,WaynRe00
4,Marvin Harrison*,2001,29,IND,WR,16,16,164,109,66.5%,1524,14.0,15,68,9.3,6.8,95.3,0,HarrMa00
5,Reggie Wayne*,2012,34,IND,WR,16,15,195,106,54.4%,1355,12.8,5,33,6.9,6.6,84.7,1,WaynRe00
6,Reggie Wayne*,2007,29,IND,WR,16,16,156,104,66.7%,1510,14.5,10,64,9.7,6.5,94.4,3,WaynRe00
7,Marvin Harrison*,2000,28,IND,WR,16,16,169,102,60.4%,1413,13.9,14,78,8.4,6.4,88.3,2,HarrMa00
8,Dallas Clark*+,2009,30,IND,TE,16,16,133,100,75.2%,1106,11.1,10,80,8.3,6.3,69.1,1,ClarDa00
9,Reggie Wayne*,2009,31,IND,WR,16,16,149,100,67.1%,1264,12.6,10,65,8.5,6.3,79.0,0,WaynRe00
10,Marvin Harrison*+,2006,34,IND,WR,16,16,148,95,64.2%,1366,14.4,12,68,9.2,5.9,85.4,1,HarrMa00
11,Marvin Harrison*,2003,31,IND,WR,15,15,142,94,66.2%,1272,13.5,10,79,9.0,6.3,84.8,2,HarrMa00
12,T.Y. Hilton*,2016,27,IND,WR,16,16,155,91,58.7%,1448,15.9,6,63,9.3,5.7,90.5,0,HiltT.00
13,Michael Pittman Jr.,2021,24,IND,WR,17,17,129,88,68.2%,1082,12.3,6,57,8.4,5.2,63.6,1,PittMi01
14,Marshall Faulk*,1998,25,IND,RB,16,15,106,86,81.1%,908,10.6,4,78,8.6,5.4,56.8,3,FaulMa00
15,Marvin Harrison*,2004,32,IND,WR,16,16,139,86,61.9%,1113,12.9,15,59,8.0,5.4,69.6,1,HarrMa00
16,Reggie Wayne*,2006,28,IND,WR,16,16,137,86,62.8%,1310,15.2,9,51,9.6,5.4,81.9,1,WaynRe00
17,Reggie Langhorne,1993,30,IND,WR,16,16,152,85,55.9%,1038,12.2,3,72,6.8,5.3,64.9,4,LangRe00
18,Reggie Wayne,2005,27,IND,WR,16,16,122,83,68.0%,1055,12.7,5,66,8.6,5.2,65.9,1,WaynRe00
19,Marvin Harrison*,2005,33,IND,WR,15,15,134,82,61.2%,1146,14.0,12,80,8.6,5.5,76.4,0,HarrMa00
20,T.Y. Hilton,2013,24,IND,WR,16,10,139,82,59.0%,1083,13.2,5,73,7.8,5.1,67.7,1,HiltT.00
21,T.Y. Hilton*,2014,25,IND,WR,15,15,131,82,62.6%,1345,16.4,7,73,10.3,5.5,89.7,3,HiltT.00
22,Joe Washington*,1979,26,BAL,RB,15,15,,82,0.0%,750,9.1,3,43,,5.5,50.0,8,WashJo00
23,Reggie Wayne*,2008,30,IND,WR,16,16,131,82,62.6%,1145,14.0,6,65,8.7,5.1,71.6,0,WaynRe00
24,Jack Doyle*,2017,27,IND,TE,15,15,108,80,74.1%,690,8.6,4,26,6.4,5.3,46.0,2,DoylJa00
25,Dallas Clark,2008,29,IND,TE,15,15,107,77,72.0%,848,11.0,6,33,7.9,5.1,56.5,2,ClarDa00
26,Reggie Wayne,2004,26,IND,WR,16,16,115,77,67.0%,1210,15.7,12,71,10.5,4.8,75.6,0,WaynRe00
27,T.Y. Hilton,2018,29,IND,WR,14,14,120,76,63.3%,1270,16.7,6,68,10.6,5.4,90.7,0,HiltT.00
28,Raymond Berry*,1961,28,BAL,LE,12,10,,75,0.0%,873,11.6,0,44,,6.3,72.8,0,BerrRa00
29,Reggie Wayne,2011,33,IND,WR,16,16,132,75,56.8%,960,12.8,4,56,7.3,4.7,60.0,0,WaynRe00
30,Raymond Berry*+,1960,27,BAL,LE,12,12,,74,0.0%,1298,17.5,10,70,,6.2,108.2,0,BerrRa00
31,Marvin Harrison,1997,25,IND,WR,16,15,117,73,62.4%,866,11.9,6,44,7.4,4.6,54.1,2,HarrMa00
32,Bill Brooks,1991,27,IND,WR,16,16,,72,0.0%,888,12.3,4,46,,4.5,55.5,0,BrooBi00
33,Lydell Mitchell,1974,25,BAL,RB,14,14,,72,0.0%,544,7.6,2,24,,5.1,38.9,6,MitcLy00
34,Albert Bentley,1990,30,IND,FB,16,15,,71,0.0%,664,9.4,2,73,,4.4,41.5,2,BentAl00
35,Matt Bouza,1986,27,IND,WR,16,14,,71,0.0%,830,11.7,5,33,,4.4,51.9,0,BouzMa00
36,Lydell Mitchell*,1977,28,BAL,RB,14,14,,71,0.0%,620,8.7,4,38,,5.1,44.3,5,MitcLy00
37,Pierre Garcon,2011,25,IND,WR,16,16,134,70,52.2%,947,13.5,6,87,7.1,4.4,59.2,2,GarcPi00
38,T.Y. Hilton*,2015,26,IND,WR,16,15,134,69,51.5%,1124,16.3,5,87,8.4,4.3,70.3,1,HiltT.00
39,Sean Dawkins,1997,26,IND,WR,14,12,111,68,61.3%,804,11.8,2,51,7.2,4.9,57.4,0,DawkSe00
40,Brandon Stokley,2004,28,IND,wr,16,3,102,68,66.7%,1077,15.8,10,69,10.6,4.3,67.3,1,StokBr00
41,Reggie Wayne,2003,25,IND,WR,16,16,107,68,63.6%,838,12.3,7,57,7.8,4.3,52.4,0,WaynRe00
42,Pierre Garcon,2010,24,IND,WR,14,14,119,67,56.3%,784,11.7,6,57,6.6,4.8,56.0,0,GarcPi00
43,Jacob Tamme,2010,25,IND,TE,16,8,93,67,72.0%,631,9.4,4,30,6.8,4.2,39.4,0,TammJa00
44,Raymond Berry*+,1959,26,BAL,LE,12,12,,66,0.0%,959,14.5,14,55,,5.5,79.9,0,BerrRa00
45,Eric Ebron*,2018,25,IND,TE,16,8,110,66,60.0%,750,11.4,13,53,6.8,4.1,46.9,1,EbroEr00
46,Bill Brooks,1986,22,IND,WR,16,12,,65,0.0%,1131,17.4,8,84,,4.1,70.7,2,BrooBi00
47,Reggie Langhorne,1992,29,IND,WR,16,12,124,65,52.4%,811,12.5,1,34,6.5,4.1,50.7,0,LangRe00
48,Marvin Harrison,1996,24,IND,WR,16,15,118,64,54.2%,836,13.1,8,41,7.1,4.0,52.3,1,HarrMa00
49,Jessie Hester,1993,30,IND,WR,16,16,130,64,49.2%,835,13.0,1,58,6.4,4.0,52.2,1,HestJe00
50,Donte Moncrief,2015,22,IND,wr,16,10,105,64,61.0%,733,11.5,6,33,7.0,4.0,45.8,0,MoncDo00
51,Reggie Wayne,2014,36,IND,WR,15,15,116,64,55.2%,779,12.2,2,80,6.7,4.3,51.9,1,WaynRe00
52,Bill Brooks,1989,25,IND,WR,16,16,,63,0.0%,919,14.6,4,55,,3.9,57.4,1,BrooBi00
53,Nyheim Hines,2018,22,IND,rb,16,4,81,63,77.8%,425,6.7,2,28,5.2,3.9,26.6,1,HineNy00
54,Nyheim Hines,2020,24,IND,rb,16,2,76,63,82.9%,482,7.7,4,29,6.3,3.9,30.1,0,HineNy00
55,Edgerrin James*,2000,22,IND,RB,16,16,87,63,72.4%,594,9.4,5,60,6.8,3.9,37.1,5,JameEd00
56,Willie Richardson*+,1967,28,BAL,FL,14,13,,63,0.0%,860,13.7,8,31,,4.5,61.4,1,RichWi00
57,Bill Brooks,1990,26,IND,WR,16,16,,62,0.0%,823,13.3,5,75,,3.9,51.4,0,BrooBi00
58,Edgerrin James*+,1999,21,IND,RB,16,16,82,62,75.6%,586,9.5,4,54,7.1,3.9,36.6,8,JameEd00
59,Roger Carr,1980,28,BAL,WR,16,16,,61,0.0%,924,15.1,5,43,,3.8,57.8,0,CarrRo00
60,Edgerrin James,2002,24,IND,RB,14,14,80,61,76.3%,354,5.8,1,23,4.4,4.4,25.3,4,JameEd00
61,Donnie Avery,2012,28,IND,WR,16,15,124,60,48.4%,781,13.0,3,48,6.3,3.8,48.8,1,AverDo00
62,Austin Collie,2009,24,IND,wr,16,5,89,60,67.4%,676,11.3,7,39,7.6,3.8,42.3,0,CollAu00
63,Marvin Harrison,2008,36,IND,WR,15,15,107,60,56.1%,636,10.6,5,67,5.9,4.0,42.4,1,HarrMa00
64,Jessie Hester,1991,28,IND,WR,16,16,,60,0.0%,753,12.6,5,49,,3.8,47.1,3,HestJe00
65,Lydell Mitchell*,1975,26,BAL,RB,14,14,,60,0.0%,544,9.1,4,35,,4.3,38.9,5,MitcLy00
66,Lydell Mitchell*,1976,27,BAL,RB,14,14,,60,0.0%,555,9.3,3,40,,4.3,39.6,4,MitcLy00
67,Jack Doyle,2016,26,IND,TE,16,14,75,59,78.7%,584,9.9,5,24,7.8,3.7,36.5,1,DoylJa00
68,Marvin Harrison,1998,26,IND,WR,12,12,122,59,48.4%,776,13.2,7,61,6.4,4.9,64.7,0,HarrMa00
69,Raymond Berry,1965,32,BAL,LE,14,14,,58,0.0%,739,12.7,7,40,,4.1,52.8,0,BerrRa00
70,Dallas Clark,2007,28,IND,TE,15,15,101,58,57.4%,616,10.6,11,39,6.1,3.9,41.1,0,ClarDa00
71,Austin Collie,2010,25,IND,wr,9,6,71,58,81.7%,649,11.2,8,73,9.1,6.4,72.1,1,CollAu00
72,Anthony Gonzalez,2008,24,IND,wr,16,2,79,57,72.2%,664,11.6,4,58,8.4,3.6,41.5,0,GonzAn00
73,T.Y. Hilton*,2017,28,IND,WR,16,16,109,57,52.3%,966,16.9,4,80,8.9,3.6,60.4,2,HiltT.00
74,Raymond Berry*+,1958,25,BAL,LE,12,12,,56,0.0%,794,14.2,9,54,,4.7,66.2,0,BerrRa00
75,Raymond Berry,1966,33,BAL,LE,14,14,,56,0.0%,786,14.0,7,40,,4.0,56.1,0,BerrRa00
76,Marshall Faulk*,1995,22,IND,RB,16,16,74,56,75.7%,475,8.5,3,34,6.4,3.5,29.7,8,FaulMa00
77,Marshall Faulk,1996,23,IND,RB,13,13,80,56,70.0%,428,7.6,0,30,5.4,4.3,32.9,2,FaulMa00
78,T.Y. Hilton,2020,31,IND,WR,15,15,93,56,60.2%,762,13.6,5,50,8.2,3.7,50.8,0,HiltT.00
79,Anthony Johnson,1993,26,IND,FB,13,8,68,55,80.9%,443,8.1,0,36,6.5,4.2,34.1,5,JohnAn00
80,John Mackey*+,1967,26,BAL,TE,14,14,,55,0.0%,686,12.5,3,34,,3.9,49.0,1,MackJo00
81,Don McCauley,1979,30,BAL,rb,15,1,,55,0.0%,575,10.5,3,35,,3.7,38.3,3,McCaDo00
82,Jimmy Orr,1962,27,BAL,FL,14,14,,55,0.0%,974,17.7,11,80,,3.9,69.6,0,OrrxJi00
83,Bill Brooks,1988,24,IND,WR,16,16,,54,0.0%,867,16.1,3,53,,3.4,54.2,1,BrooBi00
84,Austin Collie,2011,26,IND,wr,16,5,96,54,56.3%,514,9.5,1,27,5.4,3.4,32.1,0,CollAu00
85,Sean Dawkins,1996,25,IND,WR,15,14,91,54,59.3%,751,13.9,1,42,8.3,3.6,50.1,1,DawkSe00
86,Coby Fleener,2015,27,IND,TE,16,11,84,54,64.3%,491,9.1,3,57,5.8,3.4,30.7,0,FleeCo00
87,Jessie Hester,1990,27,IND,WR,16,14,,54,0.0%,924,17.1,6,64,,3.4,57.8,0,HestJe00
88,Chester Rogers,2018,24,IND,WR,16,10,72,53,73.6%,485,9.2,2,34,6.7,3.3,30.3,1,RogeCh02
89,Albert Bentley,1989,29,IND,FB,16,8,,52,0.0%,525,10.1,3,61,,3.3,32.8,3,BentAl00
90,Sean Dawkins,1995,24,IND,WR,16,13,84,52,61.9%,784,15.1,3,52,9.3,3.3,49.0,1,DawkSe00
91,Marshall Faulk*,1994,21,IND,RB,16,16,74,52,70.3%,522,10.0,1,85,7.1,3.3,32.6,5,FaulMa00
92,Coby Fleener,2013,25,IND,TE,16,12,87,52,59.8%,608,11.7,4,44,7.0,3.3,38.0,1,FleeCo00
93,Jessie Hester,1992,29,IND,WR,16,16,122,52,42.6%,792,15.2,1,81,6.5,3.3,49.5,0,HestJe00
94,Andre Rison,1989,22,IND,WR,16,13,,52,0.0%,820,15.8,4,61,,3.3,51.3,1,RisoAn00
95,Floyd Turner,1994,28,IND,WR,16,16,87,52,59.8%,593,11.4,6,28,6.8,3.3,37.1,1,TurnFl00
96,Joseph Addai,2009,26,IND,RB,15,15,63,51,81.0%,336,6.6,3,25,5.3,3.4,22.4,1,AddaJo00
97,Raymond Berry,1962,29,BAL,LE,14,12,,51,0.0%,687,13.5,3,37,,3.6,49.1,1,BerrRa00
98,Bill Brooks,1987,23,IND,WR,12,12,,51,0.0%,722,14.2,3,52,,4.3,60.2,3,BrooBi00
99,Sean Dawkins,1994,23,IND,WR,16,16,99,51,51.5%,742,14.5,5,49,7.5,3.2,46.4,1,DawkSe00
100,Coby Fleener,2014,26,IND,TE,16,12,92,51,55.4%,774,15.2,8,73,8.4,3.2,48.4,0,FleeCo00
101,Edgerrin James,2003,25,IND,RB,13,13,71,51,71.8%,292,5.7,0,17,4.1,3.9,22.5,5,JameEd00
102,Edgerrin James*,2004,26,IND,RB,16,16,60,51,85.0%,483,9.5,0,56,8.1,3.2,30.2,6,JameEd00
103,Don McCauley,1977,28,BAL,rb,14,0,,51,0.0%,495,9.7,2,34,,3.6,35.4,2,McCaDo00
104,Joe Washington,1980,27,BAL,RB,16,11,,51,0.0%,494,9.7,3,33,,3.2,30.9,5,WashJo00
105,T.Y. Hilton,2012,23,IND,wr,15,1,90,50,55.6%,861,17.2,7,61,9.6,3.3,57.4,1,HiltT.00
106,John Mackey*+,1966,25,BAL,TE,14,14,,50,0.0%,829,16.6,9,89,,3.6,59.2,0,MackJo00
107,Randy McMillan,1981,23,BAL,FB,16,16,,50,0.0%,466,9.3,1,31,,3.1,29.1,1,McMiRa00
108,Lenny Moore*+,1958,25,BAL,RH,12,12,,50,0.0%,938,18.8,7,77,,4.2,78.2,5,MoorLe00
109,Jerome Pathon,1998,23,IND,WR,16,15,106,50,47.2%,511,10.2,1,45,4.8,3.1,31.9,0,PathJe00
110,Jerome Pathon,2000,25,IND,WR,16,10,89,50,56.2%,646,12.9,3,38,7.3,3.1,40.4,0,PathJe00
111,Anthony Johnson,1992,25,IND,RB,15,13,60,49,81.7%,517,10.6,3,57,8.6,3.3,34.5,6,JohnAn00
112,Lenny Moore*+,1961,28,BAL,RHB,13,13,,49,0.0%,728,14.9,8,72,,3.8,56.0,1,MoorLe00
113,Reggie Wayne,2002,24,IND,WR,16,7,72,49,68.1%,716,14.6,4,49,9.9,3.1,44.8,2,WaynRe00
114,Tom Matte,1963,24,BAL,HB,14,13,,48,0.0%,466,9.7,1,49,,3.4,33.3,2,MattTo00
115,Raymond Berry,1957,24,BAL,LE,12,12,,47,0.0%,800,17.0,6,67,,3.9,66.7,0,BerrRa00
116,Ken Dilger,2000,29,IND,TE,16,16,72,47,65.3%,538,11.4,3,32,7.5,2.9,33.6,1,DilgKe00
117,Marshall Faulk,1997,24,IND,RB,16,16,73,47,64.4%,471,10.0,1,58,6.5,2.9,29.4,5,FaulMa00
